"Analysis","Method","Effect","Strata","Cutpoint","TV.age","Outcome","Doubly.robust","Covariates","Missing","Order","Sample.weights","Attention.cutpoint","Estimate","StdErr","p","CI.lower","CI.upper"
"PSA","stratification","ATE","7","70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.404773352724631,0.891107079972188,0.649707617919514,-2.15131113583877,1.34176443038951
"PSA","stratification","ATE","8","20/80","~1.5","Raw","No","Original","trees",NA,NA,NA,0.011324980964418,0.0517469852165836,0.826805635314156,-0.0900972463686125,0.112747208297448
"PSA","stratification","ATE","8","20/80","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.780772530260079,1.98421214138597,0.694032882305137,-4.66975686506368,3.10821180454353
"PSA","stratification","ATE","8","20/80","~3","Raw","No","Original","trees",NA,NA,NA,0.0683720030015047,0.0347760112193926,0.0496240942429467,0.000212273485534306,0.136531732517475
"PSA","stratification","ATE","8","20/80","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-3.125001313707,1.32295324328602,0.0183999666361452,-5.71794202377806,-0.532060603635944
"PSA","stratification","ATE","8","20/80","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.00844826590500608,0.0521956329141057,0.871447953947668,-0.0938532947569145,0.110749826566927
"PSA","stratification","ATE","8","20/80","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.539321586198217,1.84633440681563,0.770262829991241,-4.15807052697398,3.07942735457755
"PSA","stratification","ATE","8","20/80","~3","Raw","No","Expanded","trees",NA,NA,NA,0.0342150152462733,0.0368730169107017,0.353721887002107,-0.0380547699000383,0.106484800392585
"PSA","stratification","ATE","8","20/80","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.35560129222455,1.12683167874419,0.22931195110262,-3.56415079920197,0.85294821475286
"PSA","stratification","ATE","8","30/70","~1.5","Raw","No","Original","trees",NA,NA,NA,0.017036133599767,0.0325424407026188,0.600712999973698,-0.0467458781463962,0.0808181453459303
"PSA","stratification","ATE","8","30/70","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.926347079631905,1.11684779406631,0.407015053078269,-3.11532853221488,1.26263437295107
"PSA","stratification","ATE","8","30/70","~3","Raw","No","Original","trees",NA,NA,NA,0.00104047871311524,0.0259203975728716,0.967986320735014,-0.0497625669946724,0.0518435244209029
"PSA","stratification","ATE","8","30/70","~3","Within-sex SS","No","Original","trees",NA,NA,NA,-0.157618892276563,0.960826595376691,0.869719857423786,-2.04080441460312,1.72556663004999
"PSA","stratification","ATE","8","30/70","~1.5","Raw","No","Expanded","trees",NA,NA,NA,-0.0124659842644365,0.0508493116194417,0.806375208220482,-0.112128803677196,0.0871968351483233
"PSA","stratification","ATE","8","30/70","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.362639448224208,1.32209799341233,0.783905130018173,-2.95390389934505,2.22862500289663
"PSA","stratification","ATE","8","30/70","~3","Raw","No","Expanded","trees",NA,NA,NA,0.00579117770387962,0.0261527788320363,0.824785661304902,-0.045467326902553,0.0570496823103122
"PSA","stratification","ATE","8","30/70","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.447661446343754,0.955450771130152,0.639477149067329,-2.32031054675987,1.42498765407236
"PSA","stratification","ATE","8","40/60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.0155639660199461,0.0243424382900424,0.522667078822787,-0.0321463363244258,0.063274268364318
"PSA","stratification","ATE","8","40/60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.829644376919586,0.85964517237906,0.334635416955249,-2.51451795426627,0.855229200427097
"PSA","stratification","ATE","8","40/60","~3","Raw","No","Original","trees",NA,NA,NA,-0.00924577507366809,0.0223233491614166,0.678800179623881,-0.052998735444357,0.0345071852970208
"PSA","stratification","ATE","8","40/60","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.246640401410115,0.794484722349658,0.756265383151298,-1.31052104066252,1.80380184348275
"PSA","stratification","ATE","8","40/60","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0304214173940123,0.024874521158263,0.221505875974448,-0.0183317482088627,0.0791745829968872
"PSA","stratification","ATE","8","40/60","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-1.42500166222773,0.876473735098998,0.104175380090992,-3.14285861641706,0.292855291961608
"PSA","stratification","ATE","8","40/60","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00220060643147733,0.0229359816053323,0.92357553184263,-0.0471543043280017,0.0427530914650471
"PSA","stratification","ATE","8","40/60","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.080256345823503,0.796805043783333,0.919782942138833,-1.48145284269169,1.6419655343387
"PSA","stratification","ATE","8","50","~1.5","Raw","No","Original","trees",NA,NA,NA,0.015089322304184,0.0218026506443499,0.488964056591452,-0.0276430877262509,0.0578217323346188
"PSA","stratification","ATE","8","50","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.80006218723125,0.728832471263214,0.272455262639881,-2.22854758167047,0.628423207207974
"PSA","stratification","ATE","8","50","~3","Raw","No","Original","trees",NA,NA,NA,-0.0177364301437102,0.0192454759711067,0.356853295052724,-0.0554568699124104,0.01998400962499
"PSA","stratification","ATE","8","50","~3","Within-sex SS","No","Original","trees",NA,NA,NA,0.349961729069867,0.693546697131393,0.613897080866361,-1.00936481890437,1.70928827704411
"PSA","stratification","ATE","8","50","~1.5","Raw","No","Expanded","trees",NA,NA,NA,0.0164048940122911,0.023213688336193,0.479841918780892,-0.0290930990749848,0.0619028870995669
"PSA","stratification","ATE","8","50","~1.5","Within-sex SS","No","Expanded","trees",NA,NA,NA,-0.874276161290165,0.753888658807389,0.246315324382161,-2.35187078090585,0.603318458325522
"PSA","stratification","ATE","8","50","~3","Raw","No","Expanded","trees",NA,NA,NA,-0.00894120672614653,0.0198337737411352,0.652177183167484,-0.0478146889362877,0.0299322754839947
"PSA","stratification","ATE","8","50","~3","Within-sex SS","No","Expanded","trees",NA,NA,NA,0.0620902537078952,0.698641540136867,0.92919182708573,-1.30722200306396,1.43140251047975
"PSA","stratification","ATE","8","60","~1.5","Raw","No","Original","trees",NA,NA,NA,0.00055238631040926,0.0255954184998601,0.982784002241673,-0.0496137121185467,0.0507184847393652
"PSA","stratification","ATE","8","60","~1.5","Within-sex SS","No","Original","trees",NA,NA,NA,-0.0684006950772091,0.809609037043695,0.932678505380337,-1.65520524924101,1.51840385908659
